Node,Community,Proximity to SOD1,Relative subgraph centrality,Subgraph centrality,Participation coefficient
4932.YDR298C,6,2,3.0805818723555166e-05,1.0016988388078287,0.40771349862258954
4932.YPL262W,4,1,0.0065628810624672,1.0017701729757718,0.5069444444444444
4932.YMR097C,13,3,1.8986014020046e-07,1.0001351559331575,0.4444444444444444
4932.YKL067W,4,1,0.007584450612260074,1.0011781884247126,0.7746772178259058
4932.YGR112W,6,2,7.094226115545918e-05,1.0007161031263345,0.1266666666666667
4932.YDL085W,6,2,2.5117279165925684e-05,1.0012111424137657,0.516
4932.YML009C,13,2,8.646371685670882e-05,1.0031346804271584,0.4634662072206124
4932.Q0255,3,6,-2.4671020434907653e-16,1.0000568212319483,0.0
4932.YPL097W,13,2,2.680198142033566e-05,1.00064737939939,0.5535714285714286
4932.YNL052W,6,3,3.376198645211421e-06,1.0012672133946636,0.08148483476686286
4932.YDR316W,14,3,4.203623353234197e-07,1.000156263067394,0.6666666666666667
4932.YJL180C,6,3,1.1934941856865406e-06,1.0003371200247964,0.23111111111111116
4932.YEL021W,4,2,7.071729818324983e-05,1.0016156226075816,0.5903546631638206
4932.YPL104W,13,3,4.307348876334341e-07,1.0004097479039948,0.18000000000000005
4932.YIL157C,6,3,5.176720129331566e-07,1.0001970295487284,0.49382716049382713
4932.YJR119C,3,3,3.3794138315263074e-07,1.0005553769494762,0.46502835538752363
4932.YGL191W,6,3,3.1138034453575083e-06,1.0013544060356534,0.21519999999999995
4932.YNR020C,6,2,2.4817821712883476e-05,1.0004113970953459,0.09499999999999997
4932.YGR183C,6,2,2.3335762871676833e-05,1.0015706319425395,0.13198573127229485
4932.YDL033C,6,3,1.7081509496284526e-07,1.000126311098022,0.7777777777777778
4932.YEL027W,6,3,7.395261355091099e-07,1.0007996166298145,0.0
4932.YDL069C,6,4,4.243876652767868e-09,1.0001320702849297,0.0
4932.YJL046W,4,3,9.923160265877182e-07,1.000360507431392,0.5244444444444445
4932.YJL166W,6,2,2.439016053763073e-05,1.001510531378553,0.07201646090534974
4932.Q0140,13,2,6.55544865042522e-05,1.0020188655734419,0.2304404996712689
4932.YOR065W,6,2,5.4853452803407635e-05,1.002492333331522,0.32242482791933347
4932.YPR042C,12,4,3.434256888227129e-09,1.0002290538290213,0.1527777777777778
4932.YGR150C,6,3,3.341680466016861e-07,1.0001348615182692,0.24489795918367352
4932.YJR048W,6,2,7.212214595424003e-05,1.001062700216367,0.5422222222222222
4932.YJR105W,4,3,2.1794880008594426e-07,1.0003840805541726,0.4355555555555556
4932.YPR001W,4,2,5.56561269804447e-05,1.001231882622103,0.28080000000000005
4932.YER004W,6,3,3.6754844102869424e-07,1.0000506307530805,0.0
4932.YKR049C,7,3,3.486052007907739e-07,1.000033342763775,0.0
4932.YKL085W,4,2,9.906137784882466e-05,1.0017047192065762,0.5151020408163265
4932.Q0115,6,3,1.095685084300706e-06,1.000579905736174,0.0
4932.YDR004W,10,3,1.7672699837746608e-07,1.0012093671023439,0.0
4932.YER142C,10,3,5.8203846501031324e-08,1.0001520230250016,0.0
4932.YAL024C,10,4,7.971931066555298e-09,1.0004834970206036,0.6349206349206349
4932.YPL245W,16,3,2.8832936515958436e-07,1.0001209851600865,0.6666666666666667
4932.YGL234W,4,3,5.910250917620912e-07,1.0006702465362536,0.13520408163265307
4932.YER179W,10,3,1.1415784927819653e-07,1.0009906850562422,0.13492063492063489
4932.YIL018W,5,2,3.0600954972147786e-05,1.006669498145921,0.24355421180818004
4932.YJR024C,4,4,4.092958339873415e-10,1.0001304145704708,0.0
4932.YDR111C,4,2,9.314950990034162e-05,1.000560174758633,0.15039999999999998
4932.YML004C,4,2,2.2628174555420046e-05,1.0003561316117884,0.23111111111111116
4932.YDR419W,10,3,2.510249521923524e-07,1.000681306379731,0.06658739595719376
4932.YJR070C,14,3,5.179691157828573e-07,1.000527338277585,0.7013888888888888
4932.YFR031C-A,5,2,3.0767568639647534e-05,1.0067395619107675,0.24243767313019393
4932.YER095W,10,2,4.261044680158507e-05,1.0028525969704871,0.2433035714285714
4932.YIR034C,4,3,3.6203001398484903e-07,1.0003215393211327,0.0
4932.YPR140W,2,3,2.929275435088134e-07,1.0003345450572483,0.2551020408163265
4932.YEL038W,4,3,1.100787317251297e-07,1.000189055093824,0.0
4932.YOR346W,10,3,2.916071066797355e-07,1.0008478621834618,0.10372534696859026
4932.YPL054W,7,3,3.5837912544262746e-08,1.000016300413901,0.0
4932.YNL155W,8,4,3.457442449269284e-10,1.0000179822644906,0.0
4932.YOR006C,14,4,2.125311179324886e-09,1.0001805986301244,0.345679012345679
4932.YAR015W,4,3,1.087415681309928e-06,1.0007957821006643,0.2664359861591695
4932.YOR334W,1,3,3.3379739448779924e-07,1.000133891445541,0.5
4932.YMR190C,10,3,1.8820996846533608e-07,1.0026287126130677,0.1127340456817959
4932.YJR063W,14,4,1.6186122648253164e-08,1.000408655838515,0.5674740484429066
4932.YLR006C,15,2,2.3869333123163533e-05,1.0004409189346979,0.0
4932.YLR320W,10,4,4.802717127680846e-09,1.0002137335068346,0.4444444444444444
4932.YOR205C,13,3,3.091367201534141e-07,1.0000817208383443,0.0
4932.YDL185W,6,2,4.227331861924246e-05,1.0009208558376752,0.4604081632653061
4932.YDL130W-A,7,3,9.45291346442223e-07,1.0001772358983172,0.21875
4932.YKL011C,10,3,1.7449376992788768e-07,1.0000977313301211,0.56
4932.YBL013W,4,3,5.21916901781677e-07,1.0003053092940957,0.6272189349112426
4932.YIL098C,6,4,6.020631906434107e-09,1.0001163552434438,0.0
4932.YEL059C-A,6,4,1.4589698568191756e-10,1.0000200274930546,0.0
4932.YMR098C,13,3,4.513080985133356e-07,1.0000555772475204,0.0
4932.YER153C,6,3,3.207375348800894e-07,1.000164548458858,0.40816326530612246
4932.YOR017W,6,3,1.963851116066088e-07,1.0001120935341241,0.5
4932.YBR227C,12,2,2.5136399786578067e-05,1.0002565805615677,0.6805555555555556
4932.YGR258C,10,3,2.709261781622357e-07,1.001097560164297,0.08592592592592596
